point_index,coord_point_id,grid_x,grid_y,easting_m,northing_m,longitude,latitude
0,utm50n_500m_x1015_y-8495,1015,-8495,507750.000000000407,4247749.999999999069,117.088728734202,38.377910021542
1,utm50n_500m_x1015_y-8532,1015,-8532,507750.000000000815,4266250.000000000000,117.088933216477,38.544635335077
2,utm50n_500m_x1015_y-8533,1015,-8533,507750.000000000000,4266750.000000000000,117.088938766523,38.549141358573
3,utm50n_500m_x1015_y-8534,1015,-8534,507749.999999999767,4267250.000000000000,117.088944317811,38.553647378591
4,utm50n_500m_x1016_y-8492,1016,-8492,508249.999999999825,4246250.000000000931,117.094435591128,38.364387074340
5,utm50n_500m_x1016_y-8493,1016,-8493,508250.000000000815,4246750.000000000000,117.094441446673,38.368893236152
6,utm50n_500m_x1016_y-8494,1016,-8494,508249.999999999709,4247250.000000000000,117.094447303526,38.373399394491
7,utm50n_500m_x1016_y-8495,1016,-8495,508250.000000000175,4247749.999999999069,117.094453161687,38.377905549356
8,utm50n_500m_x1016_y-8496,1016,-8496,508249.999999999185,4248250.000000000000,117.094459021157,38.382411700747
9,utm50n_500m_x1016_y-8507,1016,-8507,508249.999999999360,4253750.000000000931,117.094523561788,38.431979136749
10,utm50n_500m_x1016_y-8508,1016,-8508,508250.000000000000,4254250.000000000000,117.094529436986,38.436485246445
11,utm50n_500m_x1016_y-8509,1016,-8509,508250.000000000407,4254750.000000000931,117.094535313497,38.440991352666
12,utm50n_500m_x1016_y-8510,1016,-8510,508249.999999999825,4255250.000000000000,117.094541191322,38.445497455412
13,utm50n_500m_x1016_y-8525,1016,-8525,508249.999999999767,4262749.999999999069,117.094629516469,38.513088579451
14,utm50n_500m_x1016_y-8526,1016,-8526,508249.999999999767,4263250.000000000000,117.094635415346,38.517594626572
15,utm50n_500m_x1016_y-8527,1016,-8527,508250.000000000407,4263750.000000000000,117.094641315541,38.522100670215
16,utm50n_500m_x1016_y-8528,1016,-8528,508250.000000000407,4264250.000000000000,117.094647217054,38.526606710380
17,utm50n_500m_x1016_y-8529,1016,-8529,508250.000000000990,4264750.000000001863,117.094653119887,38.531112747068
18,utm50n_500m_x1016_y-8530,1016,-8530,508250.000000000815,4265250.000000000000,117.094659024040,38.535618780277
19,utm50n_500m_x1016_y-8531,1016,-8531,508250.000000000990,4265750.000000000000,117.094664929512,38.540124810009
