coord_point_id,grid_x,grid_y,easting_m,northing_m,longitude,latitude,worldcover_tree_fraction,worldcover_shrubland_fraction,worldcover_grassland_fraction,worldcover_cropland_fraction,worldcover_built_fraction,worldcover_bare_fraction,worldcover_snow_ice_fraction,worldcover_water_fraction,worldcover_wetland_fraction,worldcover_mangrove_fraction,worldcover_moss_lichen_fraction,worldcover_support_fraction,worldcover_dominant_class,worldcover_dominant_fraction,point_class
utm50n_500m_x1015_y-8495,1015,-8495,507750.0000000004,4247749.999999999,117.08872873420194,38.377910021541794,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,tree,1.0,other_vegetation
utm50n_500m_x1015_y-8532,1015,-8532,507750.0000000008,4266250.0,117.08893321647656,38.54463533507708,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1015_y-8533,1015,-8533,507750.0,4266750.0,117.08893876652328,38.549141358573365,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,built,1.0,built
utm50n_500m_x1015_y-8534,1015,-8534,507749.99999999977,4267250.0,117.08894431781064,38.553647378591286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1016_y-8492,1016,-8492,508249.9999999998,4246250.000000001,117.09443559112782,38.3643870743396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1016_y-8493,1016,-8493,508250.0000000008,4246750.0,117.0944414466728,38.3688932361519,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1016_y-8494,1016,-8494,508249.9999999997,4247250.0,117.09444730352575,38.3733993944907,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1016_y-8495,1016,-8495,508250.0000000002,4247749.999999999,117.0944531616871,38.377905549355845,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,built,1.0,built
utm50n_500m_x1016_y-8496,1016,-8496,508249.9999999992,4248250.0,117.09445902115706,38.382411700747255,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1016_y-8507,1016,-8507,508249.99999999936,4253750.000000001,117.09452356178788,38.431979136748566,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1016_y-8508,1016,-8508,508250.0,4254250.0,117.09452943698626,38.43648524644506,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1016_y-8509,1016,-8509,508250.0000000004,4254750.000000001,117.09453531349742,38.4409913526662,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1016_y-8510,1016,-8510,508249.9999999998,4255250.0,117.09454119132162,38.4454974554118,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1016_y-8525,1016,-8525,508249.99999999977,4262749.999999999,117.09462951646915,38.51308857945106,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1016_y-8526,1016,-8526,508249.99999999977,4263250.0,117.09463541534568,38.51759462657177,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1016_y-8527,1016,-8527,508250.0000000004,4263750.0,117.0946413155407,38.52210067021486,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1016_y-8528,1016,-8528,508250.0000000004,4264250.0,117.09464721705449,38.52660671038024,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,built,1.0,built
utm50n_500m_x1016_y-8529,1016,-8529,508250.000000001,4264750.000000002,117.0946531198874,38.53111274706777,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1016_y-8530,1016,-8530,508250.0000000008,4265250.0,117.09465902403971,38.5356187802773,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,built,1.0,built
utm50n_500m_x1016_y-8531,1016,-8531,508250.000000001,4265750.0,117.0946649295118,38.54012481000877,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1016_y-8532,1016,-8532,508250.0000000003,4266250.0,117.09467083630392,38.54463083626201,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1016_y-8533,1016,-8533,508249.9999999997,4266750.0,117.09467674441646,38.54913685903692,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,built,1.0,built
utm50n_500m_x1016_y-8534,1016,-8534,508250.0000000002,4267250.0,117.09468265384972,38.55364287833336,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1016_y-8535,1016,-8535,508250.0000000006,4267750.0,117.09468856460398,38.55814889415123,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1016_y-8536,1016,-8536,508249.9999999996,4268250.000000001,117.09469447667958,38.56265490649041,0.0,0.0,0.523809523809524,0.0,0.4761904761904763,0.0,0.0,0.0,0.0,0.0,0.0,1.0,grassland,0.523809523809524,other_vegetation
utm50n_500m_x1016_y-8537,1016,-8537,508250.0000000004,4268750.000000001,117.09470039007688,38.56716091535076,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1017_y-8491,1017,-8491,508749.999999999,4245750.000000001,117.10015274338998,38.3598761604085,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1017_y-8492,1017,-8492,508750.000000001,4246250.0,117.10015895242763,38.36438232493156,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1017_y-8493,1017,-8493,508750.0,4246749.999999999,117.10016516285222,38.368888485981145,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1017_y-8494,1017,-8494,508750.0000000002,4247250.0,117.10017137466411,38.37339464355714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1017_y-8495,1017,-8495,508749.9999999992,4247750.0,117.1001775878636,38.377900797659386,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1017_y-8496,1017,-8496,508750.00000000105,4248250.0,117.1001838024511,38.38240694828779,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,built,1.0,built
utm50n_500m_x1017_y-8497,1017,-8497,508750.00000000105,4248750.000000001,117.10019001842689,38.38691309544221,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1017_y-8502,1017,-8502,508749.99999999936,4251249.999999999,117.10022111914182,38.40944377910017,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1017_y-8503,1017,-8503,508749.99999999895,4251750.0,117.1002273434544,38.41394990540809,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1017_y-8504,1017,-8504,508750.0000000009,4252250.0,117.1002335691576,38.41845602824113,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1017_y-8505,1017,-8505,508750.0000000004,4252750.0,117.10023979625178,38.4229621475992,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1017_y-8506,1017,-8506,508749.9999999993,4253250.0,117.10024602473726,38.42746826348217,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1017_y-8507,1017,-8507,508749.99999999936,4253750.0,117.1002522546144,38.43197437588991,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1017_y-8508,1017,-8508,508750.0000000001,4254250.0,117.10025848588351,38.43648048482229,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,built,1.0,built
utm50n_500m_x1017_y-8509,1017,-8509,508749.999999999,4254750.0,117.10026471854492,38.4409865902792,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1017_y-8510,1017,-8510,508750.00000000006,4255250.0,117.10027095259902,38.4454926922605,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1017_y-8511,1017,-8511,508750.00000000047,4255749.999999999,117.10027718804608,38.44999879076607,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1017_y-8512,1017,-8512,508749.9999999999,4256250.000000001,117.10028342488648,38.45450488579582,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1017_y-8524,1017,-8524,508750.0000000004,4262250.0,117.10035837577291,38.50857775499139,0.0,0.0,0.1468101460415065,0.8531898539584936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,0.8531898539584936,cropland
utm50n_500m_x1017_y-8525,1017,-8525,508749.99999999936,4262749.999999999,117.10036463075716,38.51308380482384,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,built,1.0,built
utm50n_500m_x1017_y-8526,1017,-8526,508750.0000000009,4263250.0,117.10037088713943,38.517589851178734,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1017_y-8527,1017,-8527,508749.99999999977,4263749.999999999,117.1003771449201,38.52209589405591,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1017_y-8528,1017,-8528,508750.0,4264250.000000001,117.10038340409947,38.5266019334553,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1017_y-8529,1017,-8529,508750.00000000064,4264750.000000001,117.10038966467792,38.53110796937673,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1017_y-8530,1017,-8530,508749.9999999991,4265250.0,117.10039592665574,38.53561400182008,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1017_y-8531,1017,-8531,508749.99999999895,4265750.0,117.1004021900333,38.54012003078525,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1017_y-8532,1017,-8532,508749.9999999997,4266250.0,117.10040845481092,38.54462605627212,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
utm50n_500m_x1017_y-8533,1017,-8533,508750.0000000005,4266750.0,117.10041472098898,38.54913207828055,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cropland,1.0,cropland
