target_year_month,split,target_valid_n
2022-01,train,9293
2022-02,train,7704
2022-03,train,9432
2022-04,train,9129
2022-05,train,5403
2022-06,train,9430
2022-07,train,9194
2022-08,train,9542
2022-09,train,9580
2022-10,train,9487
2022-11,train,9271
2022-12,train,9113
2023-01,train,9295
2023-02,train,3862
2023-03,train,9483
2023-04,train,8339
2023-05,train,9521
2023-06,train,9266
2023-07,train,9512
2023-08,train,8523
2023-09,train,9487
2023-10,train,9571
2023-11,train,9512
2023-12,train,630
2024-01,validation,8079
2024-02,validation,6029
2024-03,validation,9295
2024-04,validation,9169
2024-05,validation,9583
2024-06,validation,9535
2024-07,validation,1138
2024-08,validation,9577
2024-09,validation,3497
2024-10,validation,8439
2024-11,validation,6086
2024-12,validation,9347
2025-01,test,9275
2025-02,test,8261
2025-03,test,9557
2025-04,test,9094
2025-05,test,9565
2025-06,test,9497
2025-07,test,9555
2025-08,test,9553
2025-09,test,9575
2025-10,test,1
2025-11,test,9565
2025-12,test,9412
2026-01,test,8668
2026-02,test,9113
2026-03,test,6036
2026-04,test,9402
2026-05,test,9577
